Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 10.44      1.31     1.31 56082633     0.00     0.00  memRead
  8.92      2.43     1.12 192863996     0.00     0.00  objGetType
  6.22      3.21     0.78 22288950     0.00     0.00  objVectorSet
  5.82      3.94     0.73 34244431     0.00     0.00  objVectorRef
  5.66      4.65     0.71 22919160     0.00     0.00  memWrite
  5.58      5.35     0.70 22945493     0.00     0.00  objIsEq
  4.22      5.88     0.53 64047849     0.00     0.00  objIsPairPointer
  4.22      6.41     0.53 64012474     0.00     0.00  objGetPairPointer
  4.22      6.94     0.53 22504982     0.00     0.00  objUnref
  4.06      7.45     0.51                             glueGetValue
  3.90      7.94     0.49 20287929     0.00     0.00  regCdr
  3.59      8.39     0.45 22288785     0.00     0.00  regWrite
  3.51      8.83     0.44 20288349     0.00     0.00  objCdr
  3.43      9.26     0.43 56533381     0.00     0.00  objGetVector
  3.43      9.69     0.43 21066965     0.00     0.00  objIsEqPairPointer
  3.35     10.11     0.42    22057     0.02     0.46  listSetCdr
  3.19     10.51     0.40 34245655     0.00     0.00  vecRef
  3.03     10.89     0.38 56533381     0.00     0.00  vecCheckIndex
  2.79     11.24     0.35 22503758     0.00     0.00  objRef
  2.47     11.55     0.31 34244097     0.00     0.00  regRead
  2.07     11.81     0.26 22288950     0.00     0.00  vecSet
  1.12     11.95     0.14 10531623     0.00     0.00  objIsNull
  0.88     12.06     0.11 10530672     0.00     0.00  regIsNull
  0.80     12.16     0.10  2983083     0.00     0.00  objGetSymbol
  0.56     12.23     0.07  1487334     0.00     0.00  objIsEqSymbol
  0.32     12.27     0.04  1548203     0.00     0.00  regCar
  0.32     12.31     0.04   199850     0.00     0.00  regGetTemp
  0.24     12.34     0.03      768     0.04     1.69  lookupLabel
  0.24     12.37     0.03                             bindGetName
  0.16     12.39     0.02  2988481     0.00     0.00  objIsSymbol
  0.16     12.41     0.02    44021     0.00     0.00  sclex
  0.16     12.43     0.02        6     3.33  1717.26  scparse
  0.08     12.44     0.01  1548629     0.00     0.00  objCar
  0.08     12.45     0.01  1047187     0.00     0.00  objMakeNull
  0.08     12.46     0.01   723648     0.00     0.00  regIsEqual
  0.08     12.47     0.01   247020     0.00     0.00  regMakeNull
  0.08     12.48     0.01    75466     0.00     0.00  regCopy
  0.08     12.49     0.01    44015     0.00     0.00  restore
  0.08     12.50     0.01    41566     0.00     0.00  regGetPairPointer
  0.08     12.51     0.01    26280     0.00     0.00  regIsEq
  0.08     12.52     0.01                             bindCompare
  0.08     12.53     0.01                             hash
  0.08     12.54     0.01                             lnGetNext
  0.08     12.55     0.01                             lnIsNull
